region,date,metrics,type,value,value1
HX,1993_7,SD,GWRMP,38.7537,38.7537
HX,1993_8,SD,GWRMP,52.2447,52.2447
HX,1993_9,SD,GWRMP,17.1239,17.1239
HX,1994_5,SD,GWRMP,10.7869,10.7869
HX,1994_6,SD,GWRMP,14.7982,14.7982
HX,1994_7,SD,GWRMP,15.2081,15.2081
HX,1994_8,SD,GWRMP,17.6166,17.6166
HX,1994_9,SD,GWRMP,7.4488,7.4488
HX,1995_5,SD,GWRMP,19.2501,19.2501
HX,1995_6,SD,GWRMP,15.4034,15.4034
HX,1995_7,SD,GWRMP,15.6945,15.6945
HX,1995_8,SD,GWRMP,44.6294,44.6294
HX,1995_9,SD,GWRMP,4.053,4.053
HX,1996_5,SD,GWRMP,10.85,10.85
HX,1996_6,SD,GWRMP,33.489,33.489
HX,1996_7,SD,GWRMP,24.2167,24.2167
HX,1996_8,SD,GWRMP,12.9292,12.9292
HX,1996_9,SD,GWRMP,7.6409,7.6409
HX,1997_5,SD,GWRMP,18.6952,18.6952
HX,1997_6,SD,GWRMP,30.8086,30.8086
HX,1997_7,SD,GWRMP,14.131,14.131
HX,1997_8,SD,GWRMP,20.8704,20.8704
HX,1997_9,SD,GWRMP,3.6649,3.6649
HX,1998_5,SD,GWRMP,7.9358,7.9358
HX,1998_6,SD,GWRMP,18.6206,18.6206
HX,1998_7,SD,GWRMP,45.7841,45.7841
HX,1998_8,SD,GWRMP,10.2189,10.2189
HX,1998_9,SD,GWRMP,36.8281,36.8281
HX,1999_5,SD,GWRMP,9.6287,9.6287
HX,1999_6,SD,GWRMP,124.8404,124.8404
HX,1999_7,SD,GWRMP,13.5747,13.5747
HX,1999_8,SD,GWRMP,23.8354,23.8354
HX,1999_9,SD,GWRMP,9.7304,9.7304
HX,2000_5,SD,GWRMP,28.5913,28.5913
HX,2000_6,SD,GWRMP,24.8066,24.8066
HX,2000_7,SD,GWRMP,22.1328,22.1328
HX,2000_8,SD,GWRMP,24.0281,24.0281
HX,2000_9,SD,GWRMP,9.7047,9.7047
HX,2001_5,SD,GWRMP,12.9609,12.9609
HX,2001_6,SD,GWRMP,51.7114,51.7114
HX,2001_7,SD,GWRMP,30.1716,30.1716
HX,2001_8,SD,GWRMP,20.6419,20.6419
HX,2001_9,SD,GWRMP,6.187,6.187
HX,2002_5,SD,GWRMP,10.908,10.908
HX,2002_6,SD,GWRMP,38.9808,38.9808
HX,2002_7,SD,GWRMP,8.8485,8.8485
HX,2002_8,SD,GWRMP,20.6123,20.6123
HX,2002_9,SD,GWRMP,14.7154,14.7154
HX,2003_5,SD,GWRMP,14.3502,14.3502
HX,2003_6,SD,GWRMP,23.9405,23.9405
HX,2003_7,SD,GWRMP,105.2228,105.2228
HX,2003_8,SD,GWRMP,17.5389,17.5389
