region,date,metrics,type,value
HX,1992_6,SF,GWRMP,5596.9199
HX,1992_7,SF,GWRMP,5578.2462
HX,1992_8,SF,GWRMP,5679.6196
HX,1992_9,SF,GWRMP,5604.0789
HX,1993_5,SF,GWRMP,5602.8168
HX,1993_6,SF,GWRMP,5642.3855
HX,1993_7,SF,GWRMP,5612.004
HX,1993_8,SF,GWRMP,5666.2791
HX,1993_9,SF,GWRMP,5596.7955
HX,1994_5,SF,GWRMP,5595.4837
HX,1994_6,SF,GWRMP,5621.5918
HX,1994_7,SF,GWRMP,5566.5948
HX,1994_8,SF,GWRMP,5587.8239
HX,1994_9,SF,GWRMP,5546.6981
HX,1995_5,SF,GWRMP,5621.3718
HX,1995_6,SF,GWRMP,5664.3468
HX,1995_7,SF,GWRMP,5612.9246
HX,1995_8,SF,GWRMP,5602.5901
HX,1995_9,SF,GWRMP,5534.5276
HX,1996_5,SF,GWRMP,5565.801
HX,1996_6,SF,GWRMP,5681.4795
HX,1996_7,SF,GWRMP,5705.9896
HX,1996_8,SF,GWRMP,5587.3647
HX,1996_9,SF,GWRMP,5552.4844
HX,1997_5,SF,GWRMP,5604.7266
HX,1997_6,SF,GWRMP,5591.0086
HX,1997_7,SF,GWRMP,5598.3921
HX,1997_8,SF,GWRMP,5624.4536
HX,1997_9,SF,GWRMP,5537.5001
HX,1998_5,SF,GWRMP,5589.5688
HX,1998_6,SF,GWRMP,5656.1318
HX,1998_7,SF,GWRMP,5661.4912
HX,1998_8,SF,GWRMP,5594.9572
HX,1998_9,SF,GWRMP,5580.204
HX,1999_5,SF,GWRMP,5592.8791
HX,1999_6,SF,GWRMP,5834.3796
HX,1999_7,SF,GWRMP,5599.4967
HX,1999_8,SF,GWRMP,5704.9225
HX,1999_9,SF,GWRMP,5560.452
HX,2000_5,SF,GWRMP,5617.0142
HX,2000_6,SF,GWRMP,5657.6822
HX,2000_7,SF,GWRMP,5586.109
HX,2000_8,SF,GWRMP,5617.5499
HX,2000_9,SF,GWRMP,5568.6003
HX,2001_5,SF,GWRMP,5554.3958
HX,2001_6,SF,GWRMP,5656.7437
HX,2001_7,SF,GWRMP,5640.2187
HX,2001_8,SF,GWRMP,5652.7408
HX,2001_9,SF,GWRMP,5541.0722
HX,2002_5,SF,GWRMP,5644.4491
HX,2002_6,SF,GWRMP,5674.5092
HX,2002_7,SF,GWRMP,5589.5139
HX,2002_8,SF,GWRMP,5619.826
HX,2002_9,SF,GWRMP,5567.4658
HX,2003_5,SF,GWRMP,5558.0113
HX,2003_6,SF,GWRMP,5640.0215
HX,2003_7,SF,GWRMP,5740.6534
HX,2003_8,SF,GWRMP,5574.7856
HX,2003_9,SF,GWRMP,5564.8503
HX,2004_5,SF,GWRMP,5619.8403
HX,2004_6,SF,GWRMP,5675.0142
HX,2004_7,SF,GWRMP,5591.4418
HX,2004_8,SF,GWRMP,5575.4534
HX,2004_9,SF,GWRMP,5553.7667
HX,2005_5,SF,GWRMP,5570.7199
HX,2005_6,SF,GWRMP,5581.679
HX,2005_7,SF,GWRMP,5671.8344
HX,2005_8,SF,GWRMP,5633.784
HX,2005_9,SF,GWRMP,5580.6443
HX,2006_5,SF,GWRMP,5599.2772
HX,2006_6,SF,GWRMP,5595.9318
HX,2006_7,SF,GWRMP,5703.1478
HX,2006_8,SF,GWRMP,5567.443
HX,2006_9,SF,GWRMP,5589.9051
HX,2007_5,SF,GWRMP,5568.3102
HX,2007_6,SF,GWRMP,5582.7009
HX,2007_7,SF,GWRMP,5723.4454
HX,2007_8,SF,GWRMP,5592.6879
HX,2007_9,SF,GWRMP,5607.9156
HX,2008_5,SF,GWRMP,5592.556
HX,2008_6,SF,GWRMP,5650.3959
HX,2008_7,SF,GWRMP,5652.646
HX,2008_8,SF,GWRMP,5607.1925
HX,2008_9,SF,GWRMP,5562.2313
HX,2009_5,SF,GWRMP,5565.9229
HX,2009_6,SF,GWRMP,5671.8741
HX,2009_7,SF,GWRMP,5747.2486
HX,2009_8,SF,GWRMP,5620.8403
HX,2009_9,SF,GWRMP,5580.8217
HX,2010_5,SF,GWRMP,5574.643
HX,2010_6,SF,GWRMP,5563.1697
HX,2010_7,SF,GWRMP,5717.0437
HX,2010_8,SF,GWRMP,5584.9133
HX,2010_9,SF,GWRMP,5599.5015
HX,2011_5,SF,GWRMP,5554.7861
HX,2011_6,SF,GWRMP,5740.515
HX,2011_7,SF,GWRMP,5662.3661
HX,2011_8,SF,GWRMP,5748.4392
HX,2011_9,SF,GWRMP,5542.4833
HX,2012_5,SF,GWRMP,5587.9169
HX,2012_6,SF,GWRMP,5563.7922
HX,2012_7,SF,GWRMP,5639.6346
HX,2012_8,SF,GWRMP,5676.7704
HX,2012_9,SF,GWRMP,5577.0409
HX,2013_5,SF,GWRMP,5611.3953
HX,2013_6,SF,GWRMP,5639.0857
HX,2013_7,SF,GWRMP,5625.7005
HX,2013_8,SF,GWRMP,5586.9619
HX,2013_9,SF,GWRMP,5575.836
HX,2014_5,SF,GWRMP,5572.7234
HX,2014_6,SF,GWRMP,5612.407
HX,2014_7,SF,GWRMP,5707.0264
HX,2014_8,SF,GWRMP,5659.6103
HX,2014_9,SF,GWRMP,5577.4269
HX,2015_5,SF,GWRMP,5619.9804
HX,2015_6,SF,GWRMP,5873.0351
HX,2015_7,SF,GWRMP,5638.0925
HX,2015_8,SF,GWRMP,5616.9769
HX,2015_9,SF,GWRMP,5598.7053
HX,2016_5,SF,GWRMP,5665.793
HX,2016_6,SF,GWRMP,5727.0583
HX,2016_7,SF,GWRMP,5762.1876
HX,2016_8,SF,GWRMP,5566.8679
HX,2016_9,SF,GWRMP,5746.8236
PDPX,1979_5,SF,GWRMP,6166.1782
PDPX,1979_6,SF,GWRMP,6202.3002
PDPX,1979_7,SF,GWRMP,6205.6599
PDPX,1979_8,SF,GWRMP,6188.8041
PDPX,1979_9,SF,GWRMP,6175.351
PDPX,1980_5,SF,GWRMP,6181.3143
PDPX,1980_6,SF,GWRMP,6231.7263
PDPX,1980_7,SF,GWRMP,6224.1391
PDPX,1980_8,SF,GWRMP,6366.0515
PDPX,1980_9,SF,GWRMP,6202.6461
PDPX,1981_5,SF,GWRMP,6170.6568
PDPX,1981_6,SF,GWRMP,6217.2036
PDPX,1981_7,SF,GWRMP,6225.8102
PDPX,1981_8,SF,GWRMP,6181.2525
PDPX,1981_9,SF,GWRMP,6181.4519
PDPX,1982_5,SF,GWRMP,6174.9075
PDPX,1982_6,SF,GWRMP,6188.065
PDPX,1982_7,SF,GWRMP,6316.323
PDPX,1982_8,SF,GWRMP,6202.1627
PDPX,1982_9,SF,GWRMP,6161.9408
