region,date,metrics,type,value,value1
HX,2001_5,EN,GWRMP,2.4567,2.4567
HX,2001_6,EN,GWRMP,3.5698,3.5698
HX,2001_7,EN,GWRMP,3.1646,3.1646
HX,2001_8,EN,GWRMP,2.8781,2.8781
HX,2001_9,EN,GWRMP,1.835,1.835
HX,2002_5,EN,GWRMP,2.3503,2.3503
HX,2002_6,EN,GWRMP,3.3145,3.3145
HX,2002_7,EN,GWRMP,2.2328,2.2328
HX,2002_8,EN,GWRMP,2.8296,2.8296
HX,2002_9,EN,GWRMP,2.5725,2.5725
HX,2003_5,EN,GWRMP,2.4865,2.4865
HX,2003_6,EN,GWRMP,2.9309,2.9309
HX,2003_7,EN,GWRMP,3.6839,3.6839
HX,2003_8,EN,GWRMP,2.645,2.645
